Nazwisko	Imie	Osiagniecia	Zachowanie	JP	Mat	Biol	Geog	GHP	GHH	GMM	GMP	GJP	osiagniecia	zachowanie	jp	mat	biol	geo	ghp	ghh	gmm	gmp	gjp	srednia	ile pkt
Orlowski	Kacper	3	3	6	2	4	6	95	18	32	67	36	3	0	10	0	6	10	9,5	1,8	3,2	6,7	3,6	4,5	53,8
Kulik	Marek	5	5	5	5	5	3	99	47	3	6	59	5	0	8	8	8	4	9,9	4,7	0,3	0,6	5,9	4,5	54,4
Szymaniak	Bianka	5	5	3	4	5	2	97	87	7	93	19	5	0	4	6	8	0	9,7	8,7	0,7	9,3	1,9	3,5	53,3
Soja	Filip	3	6	6	6	2	5	57	44	90	33	78	3	2	10	10	0	8	5,7	4,4	9	3,3	7,8	4,75	63,2
Macholla	Maciej	2	4	5	3	2	2	35	82	52	15	51	2	0	8	4	0	0	3,5	8,2	5,2	1,5	5,1	3	37,5
Duchcik	Victoria	1	5	5	6	4	6	19	32	74	31	58	1	0	8	10	6	10	1,9	3,2	7,4	3,1	5,8	5,25	56,4
Subocz	Emma	0	5	2	2	5	3	45	52	32	42	33	0	0	0	0	8	4	4,5	5,2	3,2	4,2	3,3	3	32,4
Matusiewicz	Ksawery	8	5	6	2	4	3	78	38	62	45	55	8	0	10	0	6	4	7,8	3,8	6,2	4,5	5,5	3,75	55,8
Czapkowski	Jaroslaw	6	4	2	6	2	6	20	92	44	89	79	6	0	0	10	0	10	2	9,2	4,4	8,9	7,9	4	58,4
Cudzilo	Urszula	4	2	2	4	3	3	36	79	62	8	47	4	0	0	6	4	4	3,6	7,9	6,2	0,8	4,7	3	41,2
Frost	Piotr	0	2	2	4	2	4	24	81	74	4	92	0	0	0	6	0	6	2,4	8,1	7,4	0,4	9,2	3	39,5
Tylec	Bartosz	3	3	5	6	4	3	68	76	21	59	66	3	0	8	10	6	4	6,8	7,6	2,1	5,9	6,6	4,5	60
Niewierowska	Laura	4	3	2	4	4	5	70	34	18	27	70	4	0	0	6	6	8	7	3,4	1,8	2,7	7	3,75	45,9
Bankowski	Wojciech	2	4	2	4	5	2	9	76	35	83	13	2	0	0	6	8	0	0,9	7,6	3,5	8,3	1,3	3,25	37,6
Stopinska	Gabriela	6	2	4	2	3	2	63	31	2	74	15	6	0	6	0	4	0	6,3	3,1	0,2	7,4	1,5	2,75	34,5
Odya	Kacper	4	6	3	5	4	4	15	57	64	60	60	4	2	4	8	6	6	1,5	5,7	6,4	6	6	4	55,6
Jaroszek	Milosz	6	4	4	2	2	2	26	6	12	71	85	6	0	6	0	0	0	2,6	0,6	1,2	7,1	8,5	2,5	32
Deszcz	Simon	5	6	2	4	4	3	3	8	22	75	52	5	2	0	6	6	4	0,3	0,8	2,2	7,5	5,2	3,25	39
Bujalski	Tobiasz	0	5	2	4	4	4	68	77	39	95	42	0	0	0	6	6	6	6,8	7,7	3,9	9,5	4,2	3,5	50,1
Kowalina	Mateusz	4	4	3	2	5	4	65	42	95	95	95	4	0	4	0	8	6	6,5	4,2	9,5	9,5	9,5	3,5	61,2
Broner	Maria	6	2	2	2	2	4	32	39	61	67	14	6	0	0	0	0	6	3,2	3,9	6,1	6,7	1,4	2,5	33,3
Kozlowski	Mateusz	8	3	5	6	3	5	7	96	85	8	46	8	0	8	10	4	8	0,7	9,6	8,5	0,8	4,6	4,75	62,2
Majsik	Lukasz	7	5	5	5	2	2	35	95	11	36	19	7	0	8	8	0	0	3,5	9,5	1,1	3,6	1,9	3,5	42,6
Borkowski	Tomasz	1	4	4	6	3	4	73	61	49	70	52	1	0	6	10	4	6	7,3	6,1	4,9	7	5,2	4,25	57,5
G?ecki	Patryk	8	2	5	2	2	6	52	90	95	83	23	8	0	8	0	0	10	5,2	9	9,5	8,3	2,3	3,75	60,3
Zielinski	Adam	8	5	6	5	6	5	5	84	88	35	40	8	0	10	8	10	8	0,5	8,4	8,8	3,5	4	5,5	69,2
Zawisza	Agnieszka	5	4	6	2	3	4	53	57	30	7	52	5	0	10	0	4	6	5,3	5,7	3	0,7	5,2	3,75	44,9
Gerygk	Patryk	4	2	4	5	5	4	52	73	12	3	7	4	0	6	8	8	6	5,2	7,3	1,2	0,3	0,7	4,5	46,7
Gerono	Pawel	7	4	3	2	5	5	41	23	84	93	6	7	0	4	0	8	8	4,1	2,3	8,4	9,3	0,6	3,75	51,7
Dsbkowska	Weronika	3	3	4	4	5	5	44	90	71	41	60	3	0	6	6	8	8	4,4	9	7,1	4,1	6	4,5	61,6
Lang	Maja	0	5	2	4	2	6	27	56	54	99	27	0	0	0	6	0	10	2,7	5,6	5,4	9,9	2,7	3,5	42,3
Glowacz	Patryk	6	4	5	6	2	5	56	47	34	65	87	6	0	8	10	0	8	5,6	4,7	3,4	6,5	8,7	4,5	60,9
Olstowska	Klaudia	3	5	6	4	6	6	79	52	11	9	83	3	0	10	6	10	10	7,9	5,2	1,1	0,9	8,3	5,5	62,4
Kik	Michalina	6	5	5	5	4	4	34	15	40	85	52	6	0	8	8	6	6	3,4	1,5	4	8,5	5,2	4,5	56,6
Chajecki	Karol	1	3	4	6	6	3	52	36	41	96	66	1	0	6	10	10	4	5,2	3,6	4,1	9,6	6,6	4,75	60,1
Wizniewska	Amelia	5	4	6	5	5	3	41	35	54	14	29	5	0	10	8	8	4	4,1	3,5	5,4	1,4	2,9	4,75	52,3
Szewczyk	Edyta	5	3	5	5	3	2	25	24	28	21	24	5	0	8	8	4	0	2,5	2,4	2,8	2,1	2,4	3,75	37,2
Basek	Wiktoria	3	4	2	5	2	6	80	86	29	32	85	3	0	0	8	0	10	8	8,6	2,9	3,2	8,5	3,75	52,2
Stiburska	Gabriela	4	3	5	6	3	4	68	19	94	92	62	4	0	8	10	4	6	6,8	1,9	9,4	9,2	6,2	4,5	65,5
Dreger	Wanessa	4	2	5	2	5	4	74	85	21	33	9	4	0	8	0	8	6	7,4	8,5	2,1	3,3	0,9	4	48,2
Kowalska	Maria	0	2	3	5	4	6	40	46	1	98	39	0	0	4	8	6	10	4	4,6	0,1	9,8	3,9	4,5	50,4
Sorr	Iga	7	2	2	2	2	2	1	25	33	91	60	7	0	0	0	0	0	0,1	2,5	3,3	9,1	6	2	28
Marjanski	Leon	3	3	6	4	4	3	87	50	61	48	86	3	0	10	6	6	4	8,7	5	6,1	4,8	8,6	4,25	62,2
Sokolnicka	Inga	5	6	4	2	4	3	100	74	76	47	29	5	2	6	0	6	4	10	7,4	7,6	4,7	2,9	3,25	55,6
Sciebur	Damian	1	6	5	2	5	5	59	30	96	53	87	1	2	8	0	8	8	5,9	3	9,6	5,3	8,7	4,25	59,5
Polubinski	Jakub	6	2	6	4	4	6	51	98	20	37	54	6	0	10	6	6	10	5,1	9,8	2	3,7	5,4	5	64
Ogrodowczyk	Kacper	7	6	2	6	2	6	75	60	80	86	91	7	2	0	10	0	10	7,5	6	8	8,6	9,1	4	68,2
Makarski	Lukasz	5	3	2	6	2	2	28	28	14	52	35	5	0	0	10	0	0	2,8	2,8	1,4	5,2	3,5	3	30,7
Freitag	Pawel	8	3	5	5	5	6	63	66	71	11	57	8	0	8	8	8	10	6,3	6,6	7,1	1,1	5,7	5,25	68,8
Aftanas	Mariusz	5	5	5	5	2	6	45	94	45	100	98	5	0	8	8	0	10	4,5	9,4	4,5	10	9,8	4,5	69,2
Polonska	Justyna	6	5	4	5	6	3	90	98	10	95	63	6	0	6	8	10	4	9	9,8	1	9,5	6,3	4,5	69,6
Piwowarska	Kaja	7	4	6	5	4	6	3	73	19	42	88	7	0	10	8	6	10	0,3	7,3	1,9	4,2	8,8	5,25	63,5
Pomierska	Justyna	0	2	3	3	5	2	82	61	59	51	71	0	0	4	4	8	0	8,2	6,1	5,9	5,1	7,1	3,25	48,4
Kurowska	Karolina	0	5	6	4	2	6	8	13	38	1	39	0	0	10	6	0	10	0,8	1,3	3,8	0,1	3,9	4,5	35,9
Sulek	Fabian	4	2	4	4	4	3	25	86	7	3	94	4	0	6	6	6	4	2,5	8,6	0,7	0,3	9,4	3,75	47,5
Uszkiewicz	Anna	6	3	3	3	2	3	53	53	15	53	80	6	0	4	4	0	4	5,3	5,3	1,5	5,3	8	2,75	43,4
Wentland	Baniamin	3	3	4	2	6	4	22	48	26	43	10	3	0	6	0	10	6	2,2	4,8	2,6	4,3	1	4	39,9
Zebala	Adam	3	2	4	3	2	5	90	97	7	59	100	3	0	6	4	0	8	9	9,7	0,7	5,9	10	3,5	56,3
Chudzik	Wiktoria	4	2	4	5	4	2	9	47	56	89	55	4	0	6	8	6	0	0,9	4,7	5,6	8,9	5,5	3,75	49,6
Jedrzejewski	Mikolaj	4	2	2	6	4	3	47	8	77	85	10	4	0	0	10	6	4	4,7	0,8	7,7	8,5	1	3,75	46,7
Hajdamowicz	Nina	4	5	4	4	5	3	59	89	32	80	38	4	0	6	6	8	4	5,9	8,9	3,2	8	3,8	4	57,8
Ropel	Jacek	8	5	5	4	6	2	60	31	86	76	64	8	0	8	6	10	0	6	3,1	8,6	7,6	6,4	4,25	63,7
Budzynski	Tadeusz	3	4	3	5	5	5	53	78	73	89	32	3	0	4	8	8	8	5,3	7,8	7,3	8,9	3,2	4,5	63,5
Zbieska	Agata	0	4	2	2	2	6	88	43	91	4	78	0	0	0	0	0	10	8,8	4,3	9,1	0,4	7,8	3	40,4
Skrzynska	Izabela	1	5	4	6	4	2	4	97	75	86	10	1	0	6	10	6	0	0,4	9,7	7,5	8,6	1	4	50,2
Karmazyn	Mira	7	4	3	6	3	2	28	75	15	6	33	7	0	4	10	4	0	2,8	7,5	1,5	0,6	3,3	3,5	40,7
Bienkowska	Karolina	4	2	4	6	5	5	29	92	99	79	8	4	0	6	10	8	8	2,9	9,2	9,9	7,9	0,8	5	66,7
Chabowski	Szymon	2	5	3	2	3	6	59	29	92	96	77	2	0	4	0	4	10	5,9	2,9	9,2	9,6	7,7	3,5	55,3
Krol	Malgorzata	0	6	6	5	4	3	98	79	65	41	48	0	2	10	8	6	4	9,8	7,9	6,5	4,1	4,8	4,5	63,1
Markiewicz	Lila	2	2	6	5	6	3	74	25	78	6	69	2	0	10	8	10	4	7,4	2,5	7,8	0,6	6,9	5	59,2
Dalek	Szymon	3	2	4	5	2	5	12	96	66	17	86	3	0	6	8	0	8	1,2	9,6	6,6	1,7	8,6	4	52,7
Romanowska	Olga	3	5	5	3	2	2	53	89	16	27	62	3	0	8	4	0	0	5,3	8,9	1,6	2,7	6,2	3	39,7
Klos	Michal	4	3	6	4	6	6	90	31	75	1	58	4	0	10	6	10	10	9	3,1	7,5	0,1	5,8	5,5	65,5
Kedzierski	Michal	0	3	3	4	2	4	92	47	27	40	35	0	0	4	6	0	6	9,2	4,7	2,7	4	3,5	3,25	40,1
Irek	Olaf	6	4	3	2	3	5	57	67	51	92	72	6	0	4	0	4	8	5,7	6,7	5,1	9,2	7,2	3,25	55,9
Smal	Franciszek	0	6	3	6	6	4	74	60	83	39	97	0	2	4	10	10	6	7,4	6	8,3	3,9	9,7	4,75	67,3
Muczynski	Kasjan	7	6	2	3	2	3	21	16	9	49	47	7	2	0	4	0	4	2,1	1,6	0,9	4,9	4,7	2,5	31,2
Butajlo	Wojciech	8	3	5	6	2	4	73	70	71	84	81	8	0	8	10	0	6	7,3	7	7,1	8,4	8,1	4,25	69,9
Kass	Milena	2	4	6	4	5	2	44	8	100	54	77	2	0	10	6	8	0	4,4	0,8	10	5,4	7,7	4,25	54,3
Jenda	Mikolaj	6	3	5	4	3	2	78	17	48	42	85	6	0	8	6	4	0	7,8	1,7	4,8	4,2	8,5	3,5	51
Markowski	Kuba	0	3	6	2	5	2	72	53	43	72	52	0	0	10	0	8	0	7,2	5,3	4,3	7,2	5,2	3,75	47,2
M?dry	Krzysztof	7	5	6	2	5	4	15	64	20	59	52	7	0	10	0	8	6	1,5	6,4	2	5,9	5,2	4,25	52
Ostwald	Katarzyna	1	2	3	3	2	6	35	20	46	84	11	1	0	4	4	0	10	3,5	2	4,6	8,4	1,1	3,5	38,6
Begdon	Zuzanna	0	2	2	5	6	2	87	18	93	62	95	0	0	0	8	10	0	8,7	1,8	9,3	6,2	9,5	3,75	53,5
Panfil	Julian	6	2	4	3	3	2	72	79	98	86	31	6	0	6	4	4	0	7,2	7,9	9,8	8,6	3,1	3	56,6
Wnuczynska	Alicja	3	3	3	3	5	4	71	68	38	8	98	3	0	4	4	8	6	7,1	6,8	3,8	0,8	9,8	3,75	53,3
Rychter	Julia	8	2	2	3	4	4	96	47	90	24	96	8	0	0	4	6	6	9,6	4,7	9	2,4	9,6	3,25	59,3
Gasinski	Pawel	3	3	3	3	4	5	18	94	29	50	54	3	0	4	4	6	8	1,8	9,4	2,9	5	5,4	3,75	49,5
Toczek	Antonina	0	5	5	6	2	5	47	34	86	56	39	0	0	8	10	0	8	4,7	3,4	8,6	5,6	3,9	4,5	52,2
Sokolowska	Iga	7	5	5	2	6	6	6	88	24	3	43	7	0	8	0	10	10	0,6	8,8	2,4	0,3	4,3	4,75	51,4
Zawizlak	Agnieszka	8	4	3	6	2	6	87	54	69	96	7	8	0	4	10	0	10	8,7	5,4	6,9	9,6	0,7	4,25	63,3
Golunska	Oliwia	8	3	2	4	6	6	99	51	25	89	73	8	0	0	6	10	10	9,9	5,1	2,5	8,9	7,3	4,5	67,7
Piskor	Kalina	0	4	6	5	2	4	72	33	40	62	19	0	0	10	8	0	6	7,2	3,3	4	6,2	1,9	4,25	46,6
Szumala	Blanka	0	4	2	6	2	5	57	88	53	42	49	0	0	0	10	0	8	5,7	8,8	5,3	4,2	4,9	3,75	46,9
Jakuszewska	Natalia	1	4	2	2	4	2	68	81	24	15	48	1	0	0	0	6	0	6,8	8,1	2,4	1,5	4,8	2,5	30,6
Jezierska	Nadia	6	4	3	2	3	3	43	36	9	88	44	6	0	4	0	4	4	4,3	3,6	0,9	8,8	4,4	2,75	40
Kisiela	Michal	2	6	2	2	3	3	69	17	84	87	56	2	2	0	0	4	4	6,9	1,7	8,4	8,7	5,6	2,5	43,3
Macierzynska	Magdalena	0	6	6	3	2	5	25	23	92	37	40	0	2	10	4	0	8	2,5	2,3	9,2	3,7	4	4	45,7
Sosnowski	Wojciech	8	4	6	4	3	2	12	56	75	76	41	8	0	10	6	4	0	1,2	5,6	7,5	7,6	4,1	3,75	54
Winiarczyk	Amelia	5	2	5	6	2	5	39	77	37	72	32	5	0	8	10	0	8	3,9	7,7	3,7	7,2	3,2	4,5	56,7
Bialkowski	Wiktor	1	3	5	6	2	5	53	25	62	74	81	1	0	8	10	0	8	5,3	2,5	6,2	7,4	8,1	4,5	56,5
Lehmann	Marcel	7	6	3	6	4	2	11	8	29	7	38	7	2	4	10	6	0	1,1	0,8	2,9	0,7	3,8	3,75	38,3
Gnacinski	Patryk	3	4	6	4	6	2	62	31	64	1	25	3	0	10	6	10	0	6,2	3,1	6,4	0,1	2,5	4,5	47,3
Marchewicz	Lucjan	4	4	6	3	2	3	24	33	90	28	23	4	0	10	4	0	4	2,4	3,3	9	2,8	2,3	3,5	41,8
Zurowski	Adam	5	6	5	6	5	4	92	67	92	79	81	5	2	8	10	8	6	9,2	6,7	9,2	7,9	8,1	5	80,1
Morawski	Klaudiusz	5	3	4	2	6	6	21	40	18	81	88	5	0	6	0	10	10	2,1	4	1,8	8,1	8,8	4,5	55,8
Sitarska	Izabella	6	2	3	6	5	4	78	1	9	33	81	6	0	4	10	8	6	7,8	0,1	0,9	3,3	8,1	4,5	54,2
Bianga	Zuzanna	8	2	3	4	5	4	65	19	19	8	20	8	0	4	6	8	6	6,5	1,9	1,9	0,8	2	4	45,1
Jank	Natalia	2	2	2	5	5	4	60	79	51	40	16	2	0	0	8	8	6	6	7,9	5,1	4	1,6	4	48,6
Janukowicz	Natalia	5	2	3	3	6	3	79	21	41	39	74	5	0	4	4	10	4	7,9	2,1	4,1	3,9	7,4	3,75	52,4
Richter	Julia	7	2	6	6	6	5	27	93	10	43	28	7	0	10	10	10	8	2,7	9,3	1	4,3	2,8	5,75	65,1
Zarzeczanski	Adrian	5	4	6	5	4	4	44	95	15	66	82	5	0	10	8	6	6	4,4	9,5	1,5	6,6	8,2	4,75	65,2
Jasik	Natalia	0	6	6	2	4	3	15	15	58	15	87	0	2	10	0	6	4	1,5	1,5	5,8	1,5	8,7	3,75	41
Krawiec	Mateusz	4	6	6	3	6	2	69	78	32	73	93	4	2	10	4	10	0	6,9	7,8	3,2	7,3	9,3	4,25	64,5
Olszowka	Klara	7	3	4	6	3	6	14	42	40	48	35	7	0	6	10	4	10	1,4	4,2	4	4,8	3,5	4,75	54,9
Wieruszewski	Antoni	5	2	5	6	3	3	90	70	84	62	20	5	0	8	10	4	4	9	7	8,4	6,2	2	4,25	63,6
Jarosz	Milosz	1	6	4	3	3	6	79	71	89	26	96	1	2	6	4	4	10	7,9	7,1	8,9	2,6	9,6	4	63,1
Daczkowska	Weronika	5	5	6	3	4	2	45	46	47	70	56	5	0	10	4	6	0	4,5	4,6	4,7	7	5,6	3,75	51,4
Kurowska	Paulina	6	5	6	6	5	3	100	44	54	75	64	6	0	10	10	8	4	10	4,4	5,4	7,5	6,4	5	71,7
Jablonski	Nikodem	5	6	5	2	2	2	74	70	43	43	37	5	2	8	0	0	0	7,4	7	4,3	4,3	3,7	2,75	41,7
Bastian	Witold	8	3	3	4	5	5	78	45	23	91	58	8	0	4	6	8	8	7,8	4,5	2,3	9,1	5,8	4,25	63,5
Lsczynska	Magdalena	4	5	3	6	6	3	23	16	85	82	75	4	0	4	10	10	4	2,3	1,6	8,5	8,2	7,5	4,5	60,1
Szubiga	Dawid	1	2	5	2	6	6	62	89	20	56	80	1	0	8	0	10	10	6,2	8,9	2	5,6	8	4,75	59,7
Winiarski	Antoni	6	6	5	6	2	4	22	29	31	9	56	6	2	8	10	0	6	2,2	2,9	3,1	0,9	5,6	4,25	46,7
Mazurowski	Ksawery	8	3	4	5	2	4	30	10	78	57	67	8	0	6	8	0	6	3	1	7,8	5,7	6,7	3,75	52,2
Olewnik	Klaudia	7	6	4	6	2	2	29	64	39	62	1	7	2	6	10	0	0	2,9	6,4	3,9	6,2	0,1	3,5	44,5
Kruz	Maja	3	2	2	3	5	4	32	80	47	98	30	3	0	0	4	8	6	3,2	8	4,7	9,8	3	3,5	49,7
Rutkowski	Mariusz	3	5	2	3	2	6	81	8	48	7	21	3	0	0	4	0	10	8,1	0,8	4,8	0,7	2,1	3,25	33,5
